"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
417,107000,60000,72400,50000,50000,50000
418,-2,48680,59024,58300,60750,47400
419,-1,30000,26000,31000,36000,29514
420,33000,26000,35600,41500,60300,55000
421,77500,102000,117500,-5,-5,0
422,80000,86000,49000,95000,80000,132000
423,84300,142000,-5,-5,-5,160000
424,49200,56150,50000,54800,-5,-5
425,9000,22800,32100,33200,28772,33200
426,86000,-5,85000,82000,111000,73000
427,-5,-5,-5,-5,88000,31914
428,-5,-5,-5,-5,-5,-5
429,-5,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,-5,-2
431,83040,121450,80100,83010,84000,91742
432,-5,-5,-5,53920,15000,-5
433,35000,-5,33000,32278,23140,193800
434,66000,67000,70000,77000,76000,67000
435,63000,49000,-5,-5,-5,-5
436,-2,-2,-2,16600,29000,2400
437,76000,79745,-2,95030,86000,97100
438,46714,30504,69900,83422,71550,71380
439,93200,95150,115300,148250,162200,161200
440,-5,-5,-5,-5,-5,-5
441,52000,20000,20000,-5,-5,-5
442,75000,73100,79000,85200,90300,-2
443,89100,103400,108300,118700,125100,133900
444,60000,69754,92029,82000,143000,148000
445,11917,43000,72000,47500,75000,99200
446,77000,197000,94780,87500,28000,-5
447,21400,30005,27320,22000,-5,-5
448,-2,-5,-5,-5,-5,-5
449,-2,-2,-2,59000,-2,-2
450,30000,-1,28000,-5,-5,-5
451,-5,-5,-5,-5,-5,-5
452,47060,63581,86008,80000,93050,96001
453,-5,37400,57296,55300,56580,-5
454,-2,5600,-5,-5,-5,-5
455,-2,-2,408473,479983,454737,-2
456,-2,47500,408473,52500,67020,72000
457,48100,61000,52020,53200,54000,62100
458,-2,-2,115500,133650,-2,146000
459,85000,101500,98500,120000,-2,140200
460,57932,46000,35633,35672,24188,26000
461,64000,64698,60000,85000,85000,84000
462,83000,99000,99500,96000,-2,110500
463,20000,-5,-1,-5,-5,-5
464,84150,94000,89350,118600,114500,108000
465,-2,-2,160055,172000,113380,106968
466,26000,32000,40000,44000,40863,53000
467,-1,-5,-1,65000,-1,-1
468,71500,105800,125000,134600,141500,170700
469,-2,9100,-1,-2,-2,-2
470,25000,28000,20000,46000,58000,26000
471,86020,95560,97784,51520,46913,35948
472,50000,-2,26227,35318,27365,27630
473,-5,-5,20000,21741,28080,24887
474,34400,33300,44700,40000,41800,32000
475,13000,15000,23000,22000,21000,25000
476,64100,68000,58260,82000,78330,80050
477,34000,25000,15000,19000,0,-2
478,115000,100000,31000,40000,0,90200
479,96000,110160,101000,110000,128200,123000
480,-2,98000,-2,120000,-2,106000
481,142000,103000,151200,205222,141000,127500
482,75580,178000,202500,225000,240000,257300
483,71000,-2,115000,104600,454737,142000
484,40000,80000,31200,32000,7000,59000
485,12000,63000,62300,77500,72500,74000
486,140500,138000,225000,479983,265000,-2
487,78700,77150,83717,100050,97070,150520
488,57600,42000,69000,60000,70000,71045
489,93000,110000,90000,93000,-2,160000
490,-5,-5,-5,-5,-5,-5
491,65000,30000,48000,20000,22000,38200
492,96000,151500,157652,150800,38200,55874
493,1888,70000,70060,112000,77200,85050
494,-1,109000,-5,-5,-5,-5
495,33624,33585,38645,35991,34102,33326
496,28025,114422,30900,66100,56000,59800
497,-5,-5,-5,-5,-5,-5
498,-5,-5,-5,-5,-5,123848
499,93200,102000,103200,43200,44000,44000
500,-5,-2,93010,93200,110140,98990
501,-2,87000,135400,117000,142300,165800
502,67150,85020,83080,140000,233200,166000
503,115500,119000,122000,114000,-2,79800
504,-5,-5,19090,94600,104800,103800
505,-2,-2,61000,32200,18300,-2
506,30200,37900,41500,47000,48200,50000
507,46000,51000,76000,78000,56200,37580
508,24100,92200,-5,-5,-5,-5
509,-5,-5,-5,-5,-5,-5
510,-5,-5,-5,-5,-5,-5
